City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,23.2,72,36,8.03,YE,1735862822
1,port-aux-francais,-49.35,70.2167,5.6,99,100,5.37,TF,1735862823
2,grytviken,-54.2811,-36.5092,10.93,79,14,3.26,GS,1735862825
3,edinburgh of the seven seas,-37.0676,-12.3116,14.7,72,52,6.79,SH,1735862826
4,east london,-33.0153,27.9116,21.87,87,55,4.21,ZA,1735862827
5,iqaluit,63.7506,-68.5145,-5.15,74,75,3.6,CA,1735862535
6,albany,42.6001,-73.9662,0.88,59,50,2.24,US,1735862829
7,isafjordur,66.0755,-23.124,-3.58,84,97,4.97,IS,1735862830
8,adamstown,-25.066,-130.1015,24.54,76,100,5.79,PN,1735862831
9,waitangi,-43.9535,-176.5597,14.5,94,94,4.4,NZ,1735862832
10,anadyr,64.75,177.4833,-10.72,85,0,2.0,RU,1735862834
11,port mathurin,-19.6833,63.4167,25.56,72,2,7.66,MU,1735862835
12,an nuhud,12.7,28.4333,15.51,26,12,5.71,SD,1735862836
13,ust-nera,64.5667,143.2,-43.5,94,41,1.38,RU,1735862837
14,smithers,54.7804,-127.1743,-12.82,66,75,2.06,CA,1735862712
15,ushuaia,-54.8,-68.3,10.81,66,75,6.17,AR,1735862841
16,ulsan,35.5372,129.3167,0.2,42,98,3.37,KR,1735862842
17,ribeira grande,38.5167,-28.7,19.22,94,75,7.72,PT,1735862843
18,valparaiso,-33.0393,-71.6273,16.8,77,0,3.09,CL,1735862844
19,prince albert,53.2001,-105.7677,-20.39,100,99,1.97,CA,1735862845
20,bethel,41.3712,-73.414,2.05,61,100,5.14,US,1735862846
21,mugia,43.1041,-9.2179,14.95,91,100,13.97,ES,1735862847
22,utrik,11.2278,169.8474,27.33,76,99,5.47,MH,1735862848
23,ancud,-41.8697,-73.8203,15.17,87,43,1.67,CL,1735862850
24,ar rahad,12.7167,30.65,17.64,24,21,3.82,SD,1735862851
25,plouzane,48.3833,-4.6167,6.03,85,0,4.63,FR,1735862852
26,shani,10.2162,12.062,23.48,19,18,2.33,NG,1735862853
27,vilyuchinsk,52.9306,158.4028,-0.85,90,100,5.03,RU,1735862854
28,nuestra senora del rosario de caa cati,-27.7507,-57.6207,28.89,38,3,0.89,AR,1735862855
29,ponta delgada,37.7333,-25.6667,18.44,94,75,9.26,PT,1735862856
30,sao joao da barra,-21.6403,-41.0511,24.47,89,3,3.39,BR,1735862858
31,port alfred,-33.5906,26.891,22.88,94,59,1.34,ZA,1735862859
32,punta arenas,-53.15,-70.9167,12.06,54,40,8.23,CL,1735862860
33,papatowai,-46.5619,169.4708,13.25,77,100,5.45,NZ,1735862861
34,port elizabeth,-33.918,25.5701,22.95,89,19,1.34,ZA,1735862862
35,longyearbyen,78.2186,15.6401,-4.09,74,100,11.83,SJ,1735862863
36,stanley,54.868,-1.6985,-2.49,85,0,5.66,GB,1735862865
37,mount isa,-20.7333,139.5,32.87,33,33,3.6,AU,1735862866
38,invercargill,-46.4,168.35,16.12,68,100,4.02,NZ,1735862867
39,afaahiti,-17.75,-149.2833,26.34,77,37,1.88,PF,1735862868
40,uturoa,-16.7333,-151.4333,27.82,75,71,1.58,PF,1735862869
41,guerrero negro,27.9769,-114.0611,21.01,32,100,3.53,MX,1735862870
42,ilulissat,69.2167,-51.1,-1.99,100,100,6.69,GL,1735862871
43,enriquillo,17.9,-71.2333,22.72,86,74,4.31,DO,1735862872
44,augusto correa,-1.0217,-46.635,25.62,84,23,1.57,BR,1735862874
45,sunne,59.8376,13.143,-5.17,48,59,2.54,SE,1735862875
46,gizo,-8.103,156.8419,27.01,79,100,3.04,SB,1735862876
47,wailua homesteads,22.0669,-159.378,26.44,80,75,4.12,US,1735862877
48,karratha,-20.7377,116.8463,31.77,47,22,1.72,AU,1735862878
49,bredasdorp,-34.5322,20.0403,18.06,88,2,1.1,ZA,1735862879
50,tralee,52.2704,-9.7026,0.81,85,5,0.99,IE,1735862880
51,haiku-pauwela,20.9219,-156.3051,27.36,69,0,13.86,US,1735862882
52,dubbo,-32.25,148.6167,27.07,47,2,4.63,AU,1735862883
53,ouadda,8.0777,22.4007,19.47,19,83,3.38,CF,1735862884
54,bilibino,68.0546,166.4372,-20.43,94,15,1.9,RU,1735862885
55,al bawiti,28.3492,28.8659,10.79,57,21,3.21,EG,1735862886
56,morondava,-20.2833,44.2833,28.69,74,100,1.63,MG,1735862887
57,fort mcmurray,56.7268,-111.381,-23.23,77,100,1.54,CA,1735862716
58,dudinka,69.4058,86.1778,-23.35,100,86,1.8,RU,1735862890
59,kapuskasing,49.4169,-82.4331,-12.98,84,96,4.54,CA,1735862891
60,port blair,11.6667,92.75,25.48,76,32,4.29,IN,1735862892
61,alofi,-19.0595,-169.9187,28.94,70,75,4.63,NU,1735862894
62,wlodawa,51.55,23.55,1.16,59,100,4.5,PL,1735862896
63,lebu,-37.6167,-73.65,14.14,83,0,8.44,CL,1735862898
64,yambio,4.5721,28.3955,21.34,40,54,1.66,SS,1735862899
65,san juan de miraflores,-12.1629,-76.9635,22.87,76,100,3.64,PE,1735862900
66,lichuan,30.3,108.85,3.51,81,92,1.52,CN,1735862901
67,jamestown,42.097,-79.2353,-3.32,79,100,6.69,US,1735862902
68,lodja,-3.4833,23.4333,21.96,82,100,0.84,CD,1735862903
69,cabedelo,-6.9811,-34.8339,27.37,80,0,6.67,BR,1735862904
70,hongseong,36.6009,126.665,-0.94,45,7,1.78,KR,1735862906
71,san antonio de pale,-1.4014,5.6325,26.9,80,100,3.15,GQ,1735862907
72,tura,25.5198,90.2201,12.8,76,0,1.52,IN,1735862908
73,boende,-0.2167,20.8667,22.8,57,76,0.83,CD,1735862909
74,telciu,47.4333,24.4,0.6,93,100,1.81,RO,1735862910
75,el charco,2.4769,-78.1105,23.92,92,88,2.02,CO,1735862911
76,bolivar,37.6145,-93.4105,6.64,72,95,3.71,US,1735862912
77,hasaki,35.7333,140.8333,7.63,88,100,8.02,JP,1735862914
78,vadso,70.0744,29.7487,-9.91,79,20,6.17,NO,1735862915
79,kingston,17.997,-76.7936,25.53,89,75,4.63,JM,1735862916
80,isangel,-19.55,169.2667,25.06,94,100,1.03,VU,1735862917
81,kutum,14.2,24.6667,12.48,25,30,2.98,SD,1735862918
82,holualoa,19.6228,-155.9522,25.14,70,40,4.12,US,1735862919
83,bouarfa,32.53,-1.95,3.99,70,47,1.31,MA,1735862920
84,blackmans bay,-43.0167,147.3167,19.74,60,71,1.34,AU,1735862922
85,ajdabiya,30.7554,20.2263,13.76,53,100,6.51,LY,1735862923
86,carnarvon,-24.8667,113.6333,26.13,72,69,8.61,AU,1735862924
87,dongola,19.1667,30.4833,16.27,29,0,4.93,SD,1735862925
88,polyarnyy,69.1989,33.4478,-18.08,100,100,3.72,RU,1735862926
89,vila velha,-20.3297,-40.2925,26.08,86,0,5.14,BR,1735862927
90,villavicencio,4.142,-73.6266,24.1,75,98,2.05,CO,1735862928
91,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.03,GF,1735862929
92,badger,64.8,-147.5333,-33.86,75,0,1.54,US,1735862931
93,cabo san lucas,22.8909,-109.9124,25.17,53,0,2.06,MX,1735862870
94,beledweyne,4.7358,45.2036,23.69,75,21,6.2,SO,1735862934
95,amursk,50.2261,136.8994,-26.65,99,80,1.46,RU,1735862935
96,queenstown,-31.8976,26.8753,18.76,81,93,0.79,ZA,1735862936
97,hermanus,-34.4187,19.2345,18.78,88,53,2.78,ZA,1735862938
98,mikashevichy,52.2173,27.476,0.73,67,100,5.02,BY,1735862939
99,genoa,44.4129,8.9573,13.68,89,40,10.29,IT,1735862940
100,kaka,37.3482,59.6143,2.98,76,78,1.23,TM,1735862941
101,georgetown,5.4112,100.3354,27.96,65,20,4.63,MY,1735862942
102,vancleave,30.5405,-88.6875,9.56,86,0,0.0,US,1735862943
103,dul'durga,50.6761,113.5931,-22.45,95,13,1.17,RU,1735862944
104,port augusta,-32.5,137.7667,30.67,14,0,2.32,AU,1735862946
105,buta,2.7858,24.73,20.68,45,78,0.09,CD,1735862947
106,sangkhla buri,15.1555,98.4536,16.1,81,12,0.68,TH,1735862948
107,dongsheng,39.8161,109.9776,-9.92,25,0,2.76,CN,1735862949
108,pagar alam,-4.0167,103.2667,20.65,95,97,0.59,ID,1735862950
109,margaret river,-33.95,115.0667,18.72,69,100,4.01,AU,1735862951
110,yellowknife,62.456,-114.3525,-33.58,75,20,2.57,CA,1735862712
111,olonets,60.9847,32.9698,-5.32,84,89,2.19,RU,1735862954
112,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,59,100,5.0,RU,1735862955
113,antofagasta,-23.65,-70.4,20.6,81,97,1.41,CL,1735862956
114,mokhsogollokh,61.4681,128.9203,-51.51,99,63,0.52,RU,1735862957
115,lihue,21.9789,-159.3672,26.77,74,75,4.12,US,1735862958
116,olonkinbyen,70.9221,-8.7187,-8.62,80,100,14.95,SJ,1735862960
117,la oroya,-11.5189,-75.8994,2.4,82,100,1.45,PE,1735862961
118,ulladulla,-35.35,150.4667,20.35,65,32,3.8,AU,1735862962
119,osakarovka,50.565,72.5692,-8.46,79,99,10.6,KZ,1735862963
120,talnakh,69.4865,88.3972,-15.36,96,99,2.5,RU,1735862964
121,port shepstone,-30.7414,30.455,22.56,88,84,2.53,ZA,1735862965
122,canitas de felipe pescador,23.6,-102.7167,18.33,22,100,4.08,MX,1735862967
123,huilong,31.8111,121.655,6.47,81,85,3.57,CN,1735862968
124,lenino,45.2986,35.7771,8.56,84,0,8.64,UA,1735862969
125,hawaiian paradise park,19.5933,-154.9731,26.73,76,20,3.6,US,1735862961
126,saipan,15.1355,145.701,30.39,79,40,10.29,MP,1735862971
127,clodomira,-27.5744,-64.1311,29.74,48,80,4.23,AR,1735862972
128,massawa,15.6097,39.45,25.62,61,65,2.92,ER,1735862973
129,gadzhiyevo,69.2551,33.3362,-18.42,100,99,3.73,RU,1735862975
130,happy valley-goose bay,53.3168,-60.3315,3.38,89,100,6.02,CA,1735862976
131,weno,7.4515,151.8468,28.45,77,94,9.84,FM,1735862977
132,klyuchi,52.2667,79.1667,-10.71,91,61,5.04,RU,1735862978
133,inyonga,-6.7167,32.0667,17.95,96,88,1.46,TZ,1735862979
134,molteno,-31.3968,26.3625,16.17,85,13,1.18,ZA,1735862980
135,aleksin,54.51,37.08,2.84,91,100,8.98,RU,1735862981
136,ola,59.5833,151.2833,-13.5,72,100,4.46,RU,1735862983
137,asyqata,40.8994,68.3611,4.44,74,95,1.57,KZ,1735862984
138,sola,-13.8833,167.55,27.6,78,81,5.84,VU,1735862985
139,vorkuta,67.5,64.0,-19.99,99,82,2.8,RU,1735862987
140,jiazi,22.8779,116.067,14.18,74,8,4.51,CN,1735862988
141,whitehorse,60.7161,-135.0538,-28.72,75,78,2.68,CA,1735862989
142,itoman,26.1247,127.6694,18.38,63,75,6.69,JP,1735862991
143,namibe,-15.1961,12.1522,20.67,79,100,2.24,AO,1735862992
144,eyl,7.9803,49.8164,22.78,76,3,9.47,SO,1735862993
145,gorontalo,0.5412,123.0595,26.95,84,89,0.42,ID,1735862994
146,castillos,-34.1667,-53.8333,17.45,74,21,4.11,UY,1735862995
147,sao francisco de paula,-29.4481,-50.5836,16.71,89,32,2.83,BR,1735862996
148,kabansk,52.0486,106.6528,-14.11,91,8,2.26,RU,1735862997
149,ufa,54.775,56.0375,1.65,95,100,6.14,RU,1735862999
150,qamdo,31.1667,97.2333,-7.05,27,68,1.28,CN,1735863000
151,puerto ayora,-0.7393,-90.3518,24.19,96,60,1.79,EC,1735863001
152,chonchi,-42.6128,-73.8092,16.73,87,88,1.06,CL,1735863002
153,fatsa,41.0278,37.5014,7.19,50,0,3.94,TR,1735863003
154,beloyarskiy,63.7119,66.6722,-20.88,100,83,2.37,RU,1735863004
155,gereshk,31.8209,64.5701,4.08,66,95,4.7,AF,1735863007
156,mount gambier,-37.8333,140.7667,22.75,26,0,2.18,AU,1735862880
157,gobernador virasora,-28.05,-56.0333,24.44,86,1,1.37,AR,1735863009
158,whangarei,-35.7317,174.3239,20.94,67,35,4.53,NZ,1735863010
159,truth or consequences,33.1284,-107.2528,18.13,13,0,3.09,US,1735863011
160,sant'antioco,39.0664,8.4522,10.74,82,0,0.86,IT,1735863013
161,oranjemund,-28.55,16.4333,16.86,92,3,5.69,NA,1735863014
162,fisterra,42.9049,-9.2629,14.5,89,100,14.2,ES,1735863015
163,hilo,19.7297,-155.09,26.85,75,20,3.6,US,1735863016
164,newman,37.3138,-121.0208,14.46,66,57,1.34,US,1735863017
165,tosontsengel,48.7567,98.2839,-28.07,86,15,0.6,MN,1735863018
166,murashi,59.3999,48.9615,-6.22,85,100,6.01,RU,1735863019
167,spanish wells,26.323,-81.7957,19.42,70,0,2.57,US,1735863021
168,west island,-12.1568,96.8225,26.99,78,40,6.17,CC,1735863022
169,codrington,-38.2667,141.9667,21.8,36,1,4.04,AU,1735863023
170,lubao,14.9167,120.55,24.66,91,95,1.53,PH,1735863024
171,peniche,39.3558,-9.3811,10.31,80,100,5.58,PT,1735863025
172,fortuna,40.5982,-124.1573,16.07,96,100,2.68,US,1735863026
173,north lakhimpur,27.2333,94.1167,10.05,100,0,0.51,IN,1735863028
174,'alaqahdari dishu,30.4374,63.313,2.6,66,74,4.62,AF,1735863029
175,oakdale,44.963,-92.9649,-7.93,72,100,8.23,US,1735863030
176,novodvinsk,64.4165,40.8122,-7.14,98,99,1.97,RU,1735863031
177,muktsar,30.4833,74.5167,13.82,20,100,1.48,IN,1735863032
178,sotkamo,64.1333,28.4167,-13.64,99,100,1.08,FI,1735863033
179,punta del este,-34.9667,-54.95,19.06,79,20,5.66,UY,1735863035
180,thompson,55.7435,-97.8558,-23.35,89,96,3.6,CA,1735863036
181,dryden,49.7833,-92.7503,-14.84,78,100,4.12,CA,1735863037
182,puerto natales,-51.7236,-72.4875,12.28,64,18,3.25,CL,1735863038
183,campo formoso,-10.5075,-40.3214,24.17,41,46,1.7,BR,1735863039
184,tiksi,71.6872,128.8694,-29.94,97,100,4.7,RU,1735863040
185,segou,13.4317,-6.2157,20.11,20,0,5.98,ML,1735863041
186,tofol,5.3248,163.0078,30.88,70,75,3.6,FM,1735863043
187,paysandu,-32.3214,-58.0756,27.0,18,0,4.19,UY,1735863044
188,piti village,13.4626,144.6933,27.39,89,40,8.2,GU,1735863045
189,simpang,-1.2667,104.0833,23.92,96,100,0.5,ID,1735863046
190,tabou,4.423,-7.3528,26.92,85,71,2.95,CI,1735863047
191,anloga,5.7947,0.8973,27.29,84,24,4.63,GH,1735863048
192,high rock,26.6208,-78.2833,21.1,61,94,6.22,BS,1735863050
193,aasiaat,68.7098,-52.8699,-2.52,97,100,4.48,GL,1735863051
194,brookings,44.3114,-96.7984,-8.3,87,100,3.6,US,1735863052
195,usogorsk,63.4106,48.6872,-5.87,97,100,2.16,RU,1735863053
196,ikaalinen,61.7695,23.0658,-8.17,85,80,2.46,FI,1735863054
197,corner brook,48.9667,-57.9484,3.84,85,100,4.9,CA,1735863056
198,palikir - national government center,6.9248,158.1611,29.47,79,100,5.66,FM,1735863057
199,college,64.8569,-147.8028,-34.03,69,0,1.54,US,1735863059
200,brisas de zicatela,15.8369,-97.0419,28.29,78,40,3.09,MX,1735863060
201,san patricio,28.017,-97.5169,17.97,83,99,4.73,US,1735863061
202,bathsheba,13.2167,-59.5167,27.34,74,20,7.2,BB,1735863063
203,puerto baquerizo moreno,-0.9,-89.6,23.81,87,29,4.65,EC,1735863064
204,lethem,3.3803,-59.7968,28.78,51,68,3.26,GY,1735863065
205,kodiak,57.79,-152.4072,3.73,93,100,0.0,US,1735863066
206,glace bay,46.1969,-59.957,3.32,93,100,3.13,CA,1735863067
207,st. john's,47.5649,-52.7093,6.75,97,100,7.72,CA,1735863068
208,zavodoukovsk,56.5042,66.5515,-5.4,92,100,6.84,RU,1735863070
209,okhotsk,59.3833,143.3,-25.71,65,19,8.62,RU,1735863071
210,san julian,21.0167,-102.1667,18.07,24,100,1.2,MX,1735863072
211,westport,41.1415,-73.3579,2.96,56,20,7.2,US,1735863073
212,nizhniy ingash,56.2,96.53,-8.05,95,100,2.83,RU,1735863074
213,akureyri,65.6835,-18.0878,-11.02,91,91,3.44,IS,1735863075
214,port lincoln,-34.7333,135.8667,22.13,59,9,4.0,AU,1735863076
215,colonia menno,-22.3667,-59.8167,28.52,62,98,2.36,PY,1735863078
216,enewetak,11.3474,162.3373,27.79,65,76,7.72,MH,1735863079
217,ust'-kut,56.7938,105.7672,-25.6,100,89,1.44,RU,1735863080
218,avarua,-21.2078,-159.775,28.03,83,75,6.17,CK,1735863081
219,fale old settlement,-9.3852,-171.2468,28.43,69,77,4.74,TK,1735863082
220,poronaysk,49.2167,143.1167,-20.17,91,67,1.88,RU,1735863083
221,laguna,38.421,-121.4238,15.58,69,0,1.54,US,1735863085
222,vila franca do campo,37.7167,-25.4333,18.27,99,99,8.46,PT,1735863086
223,skeldon,5.8833,-57.1333,24.7,93,100,2.78,GY,1735863087
224,tazovsky,67.4667,78.7,-17.59,95,100,5.29,RU,1735863088
225,tres arroyos,-38.3739,-60.2798,14.4,70,7,4.55,AR,1735863089
226,trinidad,-14.8333,-64.9,27.87,68,97,1.82,BO,1735863090
227,ribeira brava,32.65,-17.0667,19.35,65,70,2.92,PT,1735863091
228,kavaratti,10.5669,72.642,27.14,67,90,4.2,IN,1735863093
229,ebaye,8.7748,167.7392,30.01,70,40,6.17,MH,1735863094
230,qobustan,40.0824,49.412,6.65,64,10,5.76,AZ,1735863095
231,iskateley,67.6803,53.1512,-8.45,93,100,5.04,RU,1735863096
232,ha'il,27.5219,41.6907,2.01,75,0,0.0,SA,1735863097
233,udachny,66.4167,112.4,-38.0,100,89,1.74,RU,1735863098
234,saurimo,-9.6608,20.3916,17.11,97,99,0.94,AO,1735863099
235,kuta,-8.7233,115.1723,26.97,89,40,2.06,ID,1735863102
236,kerman,30.2832,57.0788,-1.43,68,100,3.09,IR,1735863103
237,nar'yan-mar,67.6713,53.087,-8.48,93,100,5.08,RU,1735863104
238,ko pha ngan,9.7578,100.0291,24.08,69,100,4.06,TH,1735863105
239,postbauer-heng,49.3053,11.3572,-0.27,90,100,2.74,DE,1735863107
240,zinacatepec,18.3333,-97.25,19.04,71,97,3.16,MX,1735863108
241,gray,35.4167,-100.802,8.89,39,0,3.41,US,1735863109
242,al majaridah,19.1236,41.9111,23.46,49,0,0.54,SA,1735863110
243,saint-pierre,-21.3393,55.4781,23.82,69,0,2.06,RE,1735863111
244,taroa,8.7058,171.2275,27.81,77,64,7.73,MH,1735863112
245,fort bragg,35.139,-79.006,6.01,61,0,0.45,US,1735863113
246,am timan,11.0297,20.2827,20.29,19,70,2.99,TD,1735863115
247,karatau,43.1667,70.4667,-1.7,82,12,1.52,KZ,1735863116
248,hithadhoo,-0.6,73.0833,27.6,79,73,8.2,MV,1735863117
249,pokhara,28.2333,83.9833,10.63,43,60,1.69,NP,1735862914
250,santa ana,33.7456,-117.8678,24.09,40,0,2.06,US,1735863119
251,puerto deseado,-47.7503,-65.8938,14.18,87,19,4.66,AR,1735863112
252,susuman,62.7833,148.1667,-43.85,99,89,0.18,RU,1735863121
253,port saint john's,-31.6229,29.5448,22.49,90,69,3.35,ZA,1735863123
254,tamandare,-8.7597,-35.1047,25.64,82,2,3.8,BR,1735863124
255,san juanito,28.0,-107.5833,12.67,15,100,0.57,MX,1735863125
256,selfoss,63.9331,-20.9971,-3.35,92,98,0.93,IS,1735863126
257,sitka,57.0531,-135.33,2.94,48,40,4.12,US,1735863127
258,mil'kovo,55.6078,37.7956,2.97,97,100,6.69,RU,1735863128
259,at taj,24.2049,23.2857,12.16,25,0,3.37,LY,1735863129
260,chinde,26.8212,87.7095,13.46,74,5,2.41,NP,1735863131
261,maslyanino,54.3436,84.2111,-8.37,92,100,5.79,RU,1735863132
262,alice springs,-23.7,133.8833,32.75,10,0,5.66,AU,1735863133
263,langon,44.5,-0.3333,7.4,94,100,1.41,FR,1735863134
264,villa gesell,-37.2639,-56.973,16.8,62,27,9.2,AR,1735863135
265,hammerfest,70.6634,23.6821,-2.75,86,75,3.6,NO,1735863137
266,adrar,20.5022,-10.0711,11.44,24,0,5.22,MR,1735863138
267,prymors'k,46.7348,36.3443,5.88,83,0,7.27,UA,1735863139
268,khandyga,62.6667,135.6,-47.18,99,54,0.48,RU,1735863140
269,laojunmiao,39.8333,97.7333,-6.91,54,100,0.62,CN,1735863141
270,inhambane,-23.865,35.3833,26.89,88,33,3.49,MZ,1735863142
271,flying fish cove,-10.4217,105.6791,25.82,94,97,2.57,CX,1735863144
272,micheweni,-4.9667,39.8333,27.03,78,90,4.24,TZ,1735863145
273,san rafael,-34.6177,-68.3301,27.77,20,0,4.29,AR,1735863146
274,iola,37.9245,-95.4,8.09,61,100,2.57,US,1735863147
275,melfort,52.8667,-104.6177,-18.47,99,99,2.6,CA,1735863158
276,aykhal,66.0,111.5,-35.03,100,93,2.17,RU,1735863159
277,sakaiminato,35.55,133.2333,8.32,51,89,9.55,JP,1735863160
278,olds,51.7834,-114.102,-20.43,99,80,2.85,CA,1735862881
279,qusmuryn,52.4503,64.6311,1.58,94,100,11.04,KZ,1735863162
280,burao,9.5221,45.5336,16.26,55,21,6.26,SO,1735863164
281,taoudenni,22.6783,-3.9836,12.81,43,2,4.78,ML,1735863165
282,lompoc,34.6391,-120.4579,19.73,46,0,3.6,US,1735863166
283,al kharijah,25.4514,30.5464,12.11,36,4,3.66,EG,1735863167
284,badr hunayn,23.7829,38.7905,16.58,28,2,4.2,SA,1735863168
285,san pedro pochutla,15.7333,-96.4667,23.69,79,99,1.78,MX,1735863065
286,tegueste,28.5167,-16.3167,15.64,89,40,4.02,ES,1735863171
287,viedma,-40.8135,-62.9967,16.2,59,43,3.2,AR,1735863172
288,sao vicente,-23.9631,-46.3919,26.1,26,94,2.01,BR,1735863173
289,rio grande,-32.035,-52.0986,22.0,90,59,6.46,BR,1735863174
